iter	Passed	Remaining
413	3175	4494
414	3182	4486
415	3189	4477
416	3196	4469
417	3204	4461
418	3211	4452
419	3218	4444
420	3225	4435
421	3232	4427
422	3239	4418
423	3247	4411
424	3254	4403
425	3262	4395
426	3269	4387
427	3276	4379
428	3284	4371
429	3291	4363
430	3299	4355
431	3306	4347
432	3314	4339
433	3321	4331
434	3328	4323
435	3336	4315
436	3342	4306
437	3350	4298
438	3357	4290
439	3364	4282
440	3372	4274
441	3379	4266
442	3386	4258
443	3394	4250
444	3401	4242
445	3408	4234
446	3416	4226
447	3423	4218
448	3431	4210
449	3438	4202
450	3445	4194
451	3453	4186
452	3460	4178
453	3467	4170
454	3475	4162
455	3482	4154
456	3489	4145
457	3496	4138
458	3504	4130
459	3511	4122
460	3519	4114
461	3527	4107
462	3534	4099
463	3542	4091
464	3549	4083
465	3556	4075
466	3563	4067
467	3571	4059
468	3578	4051
469	3586	4043
470	3593	4036
471	3601	4028
472	3607	4019
473	3615	4012
474	3622	4003
475	3629	3995
476	3636	3987
477	3644	3979
478	3651	3971
479	3658	3963
480	3666	3955
481	3673	3947
482	3680	3939
483	3688	3932
484	3696	3924
485	3704	3917
486	3714	3912
487	3721	3904
488	3728	3896
489	3736	3888
490	3744	3881
491	3751	3873
492	3758	3865
493	3766	3857
494	3773	3849
495	3780	3841
496	3787	3833
497	3794	3825
498	3801	3817
499	3809	3809
500	3817	3801
501	3824	3794
502	3831	3786
503	3839	3778
504	3846	3770
505	3853	3762
506	3861	3754
507	3868	3746
508	3876	3739
509	3883	3731
510	3890	3723
511	3898	3715
512	3905	3707
513	3913	3700
514	3920	3692
515	3928	3684
516	3935	3676
517	3942	3668
518	3949	3660
519	3957	3652
520	3964	3645
521	3971	3637
522	3979	3629
523	3987	3621
524	3994	3614
525	4002	3606
526	4010	3599
527	4017	3591
528	4024	3583
529	4031	3575
530	4039	3567
531	4046	3560
532	4054	3552
533	4062	3545
534	4070	3537
535	4077	3529
536	4084	3521
537	4091	3513
538	4099	3505
539	4106	3497
540	4113	3490
541	4120	3482
542	4128	3474
543	4135	3466
544	4143	3459
545	4150	3451
546	4157	3443
547	4164	3435
548	4172	3427
549	4179	3419
550	4187	3412
551	4194	3404
552	4201	3396
553	4208	3388
554	4216	3380
555	4223	3372
556	4230	3364
557	4238	3357
558	4245	3349
559	4253	3341
560	4260	3334
561	4268	3326
562	4275	3318
563	4282	3310
564	4289	3302
565	4296	3294
566	4303	3286
567	4311	3278
568	4317	3270
569	4325	3262
570	4332	3255
571	4339	3247
572	4346	3239
573	4354	3231
574	4361	3223
575	4369	3216
576	4376	3208
577	4383	3200
578	4391	3192
579	4398	3184
580	4405	3177
581	4413	3169
582	4420	3161
583	4427	3154
584	4435	3146
585	4443	3139
586	4450	3131
587	4458	3123
588	4465	3115
589	4472	3107
590	4479	3099
591	4487	3092
592	4494	3085
593	4502	3077
594	4509	3069
595	4517	3061
596	4524	3054
597	4532	3046
598	4539	3039
599	4546	3030
600	4553	3023
601	4560	3015
602	4568	3007
603	4575	3000
604	4583	2992
605	4591	2985
606	4599	2977
607	4606	2970
608	4614	2962
609	4622	2955
610	4629	2947
611	4637	2940
612	4645	2932
613	4653	2925
614	4660	2917
615	4668	2910
616	4676	2902
617	4683	2895
618	4691	2887
619	4698	2879
620	4706	2872
621	4714	2865
622	4722	2857
623	4729	2849
624	4736	2842
625	4744	2834
626	4751	2826
627	4759	2819
628	4766	2811
629	4773	2803
630	4781	2796
631	4789	2788
632	4797	2781
633	4804	2773
634	4812	2766
635	4819	2758
636	4827	2750
637	4835	2743
638	4843	2736
639	4850	2728
640	4858	2720
641	4865	2713
642	4873	2705
643	4880	2698
644	4888	2690
645	4895	2682
646	4902	2675
647	4910	2667
648	4917	2659
649	4924	2651
650	4931	2643
651	4939	2636
652	4946	2628
653	4954	2621
654	4961	2613
655	4969	2605
656	4977	2598
657	4984	2590
658	4991	2582
659	4998	2575
660	5005	2567
661	5013	2559
662	5021	2552
663	5028	2544
664	5035	2536
665	5043	2529
666	5050	2521
667	5058	2513
668	5065	2506
669	5071	2498
670	5079	2490
671	5086	2482
672	5093	2475
673	5102	2467
674	5109	2459
675	5116	2452
676	5123	2444
677	5131	2436
678	5138	2429
679	5145	2421
680	5153	2413
681	5160	2406
682	5168	2398
683	5177	2391
684	5185	2384
685	5192	2376
686	5199	2369
687	5207	2361
688	5214	2353
689	5221	2345
690	5229	2338
691	5236	2330
692	5243	2322
693	5250	2315
694	5258	2307
695	5265	2300
696	5273	2292
697	5280	2284
698	5287	2276
699	5294	2269
700	5302	2261
701	5310	2254
702	5317	2246
703	5325	2239
704	5332	2231
705	5339	2223
706	5347	2216
707	5354	2208
708	5361	2200
709	5369	2193
710	5376	2185
711	5383	2177
712	5391	2170
713	5399	2162
714	5406	2155
715	5414	2147
716	5421	2139
717	5429	2132
718	5436	2124
719	5443	2117
720	5451	2109
721	5458	2101
722	5465	2093
723	5472	2086
724	5480	2078
725	5487	2071
726	5494	2063
727	5502	2055
728	5509	2048
729	5516	2040
730	5524	2032
731	5531	2025
732	5538	2017
733	5546	2009
734	5553	2002
735	5561	1994
736	5568	1987
737	5575	1979
738	5582	1971
739	5590	1964
740	5597	1956
741	5605	1948
742	5612	1941
743	5619	1933
744	5627	1926
745	5634	1918
746	5642	1910
747	5649	1903
748	5656	1895
749	5663	1887
750	5671	1880
751	5678	1872
752	5685	1865
753	5693	1857
754	5700	1849
755	5707	1842
756	5714	1834
757	5722	1826
758	5729	1819
759	5737	1811
760	5744	1804
761	5752	1796
762	5759	1789
763	5766	1781
764	5774	1773
765	5781	1766
766	5788	1758
767	5796	1750
768	5803	1743
769	5811	1735
770	5818	1728
771	5826	1720
772	5833	1713
773	5841	1705
774	5848	1697
775	5855	1690
