iter	Logloss
0	0.636526101
1	0.5725754537
2	0.5300947519
3	0.4776299736
4	0.4304401649
5	0.3876497255
6	0.3490266825
7	0.3154991714
8	0.2834050142
9	0.2622111179
10	0.2382993445
11	0.2156088533
12	0.1956435525
13	0.1772011751
14	0.1643167988
15	0.1488764716
16	0.1337530971
17	0.1209753727
18	0.1095513872
19	0.1005099846
20	0.09190188135
21	0.08466233937
22	0.07757869195
23	0.07113258182
24	0.06549214754
25	0.06019549531
26	0.05564022328
27	0.05145847173
28	0.04757854317
29	0.04403213117
30	0.0408762597
31	0.03835460656
32	0.03544895313
33	0.03317578323
34	0.03078381501
35	0.02882060435
36	0.02693707568
37	0.02530618191
38	0.02381506272
39	0.0224964173
40	0.02100907536
41	0.01966532668
42	0.01851062666
43	0.01735309378
44	0.01632542566
45	0.01547114958
46	0.0146527432
47	0.01396419859
48	0.01330421632
49	0.01270237232
50	0.01209241387
51	0.01148947129
52	0.01096018042
53	0.01038016276
54	0.0099948559
55	0.009574495392
56	0.009174554653
57	0.008781920782
58	0.008372611649
59	0.007970652647
60	0.007595136455
61	0.007277321807
62	0.006998751727
63	0.006747154766
64	0.006519483587
65	0.006243480467
66	0.006005793621
67	0.005809969473
68	0.005630417931
69	0.005467893451
70	0.005278238838
71	0.005110120141
72	0.004928593588
73	0.004745760608
74	0.004585703027
75	0.004437591169
76	0.004298670079
77	0.004167364451
78	0.004064966177
79	0.003932631187
80	0.003798948913
81	0.003687522511
82	0.003608994499
83	0.003533343072
84	0.003431035876
85	0.003321965236
86	0.003244393255
87	0.003157804384
88	0.003098022845
89	0.003007132358
90	0.002915110291
91	0.002841463595
92	0.002786882813
93	0.002725883666
94	0.002668734638
95	0.002614219846
96	0.002551715131
97	0.002482594912
98	0.002421120251
99	0.002371096751
100	0.002322133987
101	0.002278588542
102	0.002227636521
103	0.002182601871
104	0.002137399474
105	0.002092986997
106	0.00204042727
107	0.002008970837
108	0.001967392937
109	0.001927725394
110	0.001887325489
111	0.001849551238
112	0.001814413985
113	0.001783439753
114	0.001754878542
115	0.0017306677
116	0.001698017082
117	0.001667673733
118	0.001637400483
119	0.001610328833
120	0.001586176663
121	0.001555178308
122	0.001527655814
123	0.001502603925
124	0.001477320638
125	0.001447941184
126	0.001423503558
127	0.001401253602
128	0.001382462939
129	0.00136004535
130	0.001339166319
131	0.001324951151
132	0.001304049997
133	0.001287547481
134	0.001271613019
135	0.001248050211
136	0.001229232213
137	0.00121125716
138	0.001191450938
139	0.001179243182
140	0.001159786197
141	0.001143643336
142	0.0011273825
143	0.001113382597
144	0.001098321893
145	0.001084111375
146	0.001066108731
147	0.001049363462
148	0.001034363525
149	0.00102336701
150	0.00101084257
151	0.0009972267797
152	0.0009817907749
153	0.0009694600569
154	0.0009598655371
155	0.0009501532601
