iter	Passed	Remaining
432	1465	1918
433	1467	1914
434	1469	1908
435	1470	1902
436	1472	1896
437	1475	1893
438	1480	1891
439	1483	1888
440	1486	1883
441	1494	1886
442	1500	1886
443	1503	1882
444	1504	1876
445	1506	1870
446	1507	1865
447	1522	1875
448	1528	1875
449	1531	1871
450	1534	1868
451	1536	1862
452	1537	1856
453	1539	1851
454	1540	1845
455	1543	1841
456	1547	1838
457	1551	1835
458	1552	1830
459	1554	1824
460	1557	1820
461	1558	1814
462	1562	1811
463	1564	1807
464	1573	1810
465	1576	1805
466	1579	1802
467	1581	1797
468	1583	1792
469	1585	1787
470	1590	1786
471	1595	1785
472	1597	1779
473	1599	1774
474	1601	1769
475	1602	1764
476	1608	1763
477	1613	1761
478	1614	1756
479	1616	1750
480	1626	1755
481	1635	1758
482	1655	1771
483	1660	1769
484	1666	1769
485	1668	1764
486	1669	1758
487	1672	1754
488	1685	1761
489	1694	1763
490	1699	1761
491	1700	1755
492	1701	1750
493	1703	1745
494	1713	1748
495	1716	1744
496	1719	1739
497	1720	1734
498	1723	1730
499	1725	1725
500	1732	1725
501	1734	1720
502	1735	1714
503	1736	1709
504	1746	1711
505	1751	1710
506	1753	1705
507	1756	1701
508	1771	1708
509	1774	1705
510	1776	1700
511	1780	1696
512	1781	1691
513	1786	1689
514	1791	1687
515	1802	1691
516	1804	1686
517	1807	1681
518	1809	1676
519	1810	1671
520	1817	1670
521	1825	1671
522	1828	1667
523	1831	1663
524	1834	1659
525	1837	1655
526	1839	1650
527	1851	1655
528	1855	1651
529	1857	1647
530	1863	1645
531	1865	1640
532	1866	1635
533	1867	1630
534	1869	1624
535	1874	1622
536	1888	1627
537	1889	1622
538	1893	1619
539	1901	1620
540	1907	1618
541	1915	1618
542	1917	1613
543	1919	1608
544	1921	1603
545	1923	1599
546	1925	1594
547	1929	1591
548	1932	1587
549	1933	1582
550	1935	1576
551	1936	1571
552	1939	1567
553	1946	1566
554	1947	1561
555	1949	1556
556	1952	1552
557	1962	1554
558	1964	1549
559	1968	1546
560	1973	1544
561	1977	1541
562	1979	1536
563	1981	1531
564	1982	1526
565	1989	1525
566	1990	1520
567	1994	1517
568	1996	1512
569	2000	1509
570	2004	1505
571	2005	1500
572	2007	1496
573	2010	1492
574	2012	1487
575	2014	1482
576	2017	1478
577	2019	1474
578	2021	1470
579	2023	1465
580	2024	1459
581	2025	1454
582	2029	1451
583	2032	1447
584	2035	1444
585	2039	1440
586	2041	1436
587	2047	1434
588	2049	1430
589	2052	1426
590	2058	1424
591	2060	1420
592	2062	1415
593	2067	1412
594	2068	1408
595	2070	1403
596	2073	1399
597	2080	1398
598	2084	1395
599	2087	1391
600	2089	1387
601	2091	1382
602	2097	1381
603	2098	1376
604	2103	1373
605	2113	1373
606	2114	1368
607	2115	1364
608	2121	1362
609	2124	1358
610	2125	1353
611	2129	1350
612	2131	1345
613	2133	1340
614	2135	1336
615	2136	1331
616	2139	1328
617	2141	1323
618	2142	1318
619	2147	1316
620	2148	1311
621	2150	1306
622	2152	1302
623	2157	1299
624	2160	1296
625	2164	1292
626	2171	1291
627	2174	1288
628	2178	1284
629	2180	1280
630	2182	1276
631	2184	1272
632	2187	1268
633	2188	1263
634	2190	1258
635	2191	1254
636	2194	1250
637	2198	1247
638	2200	1243
639	2202	1238
640	2204	1234
641	2208	1231
642	2211	1228
643	2213	1223
644	2216	1219
645	2227	1220
646	2229	1216
647	2230	1211
648	2234	1208
649	2236	1204
650	2238	1200
651	2243	1197
652	2244	1192
653	2246	1188
654	2253	1186
655	2256	1183
656	2259	1179
657	2261	1175
658	2263	1171
659	2267	1167
660	2272	1165
661	2275	1162
662	2277	1157
663	2281	1154
664	2283	1150
665	2284	1145
666	2292	1144
667	2294	1140
668	2296	1136
669	2298	1132
670	2301	1128
671	2306	1125
672	2310	1122
673	2312	1118
674	2314	1114
675	2315	1109
676	2317	1105
677	2320	1102
678	2322	1097
679	2323	1093
680	2325	1089
681	2326	1084
682	2327	1080
683	2329	1076
684	2336	1074
685	2345	1073
686	2346	1069
687	2350	1065
688	2351	1061
689	2354	1057
690	2356	1053
691	2357	1049
692	2358	1044
693	2360	1040
694	2361	1036
695	2362	1032
696	2364	1027
697	2369	1025
698	2371	1021
699	2373	1017
700	2376	1013
701	2386	1013
702	2390	1009
703	2391	1005
704	2392	1001
705	2396	997
706	2400	994
707	2402	990
708	2404	986
709	2406	982
710	2407	978
711	2410	975
712	2415	972
713	2418	968
714	2420	964
715	2423	961
716	2424	956
717	2428	953
718	2438	952
719	2449	952
720	2453	949
721	2455	945
722	2467	945
723	2472	942
724	2473	938
725	2474	934
726	2476	930
727	2488	929
728	2493	927
729	2505	926
730	2510	923
731	2511	919
732	2513	915
733	2515	911
734	2520	908
735	2530	907
736	2532	903
737	2534	899
738	2535	895
739	2541	893
740	2549	891
741	2551	887
742	2559	885
743	2564	882
744	2565	878
745	2566	873
746	2569	870
747	2572	866
748	2578	864
749	2581	860
750	2582	856
751	2584	852
752	2585	848
753	2589	844
754	2599	843
755	2600	839
756	2602	835
757	2605	831
758	2607	827
759	2608	823
760	2616	821
761	2621	818
762	2624	815
763	2632	813
764	2634	809
765	2636	805
766	2639	801
767	2641	797
768	2644	794
769	2654	792
770	2659	789
771	2661	785
772	2662	781
773	2669	779
774	2671	775
775	2672	771
776	2673	767
777	2675	763
778	2676	759
779	2678	755
780	2680	751
781	2683	748
782	2691	745
783	2693	742
784	2694	738
785	2700	735
786	2704	732
787	2709	729
788	2711	725
789	2713	721
790	2716	717
791	2718	713
792	2721	710
793	2725	707
794	2729	703
795	2737	701
796	2740	697
797	2742	694
798	2744	690
799	2751	687
800	2753	684
801	2756	680
802	2758	676
803	2763	673
804	2770	671
805	2773	667
806	2780	665
807	2782	661
808	2784	657
809	2786	653
810	2788	649
811	2789	645
812	2791	642
813	2795	638
814	2800	635
815	2801	631
816	2805	628
817	2811	625
818	2812	621
819	2816	618
820	2820	614
821	2823	611
822	2825	607
823	2827	603
824	2829	600
825	2831	596
826	2833	592
827	2838	589
828	2840	586
829	2842	582
830	2845	578
831	2852	576
832	2856	572
833	2857	568
834	2860	565
835	2861	561
836	2863	557
837	2867	554
838	2869	550
839	2874	547
840	2875	543
841	2877	539
842	2878	536
843	2882	532
844	2889	530
845	2891	526
846	2894	522
847	2896	519
848	2898	515
849	2899	511
850	2903	508
851	2907	505
852	2909	501
853	2913	498
854	2917	494
855	2920	491
856	2927	488
857	2929	484
858	2930	481
859	2932	477
860	2936	474
861	2938	470
862	2942	467
863	2943	463
864	2945	459
865	2947	456
866	2949	452
867	2951	448
868	2956	445
869	2958	442
870	2960	438
871	2962	434
872	2965	431
873	2967	427
874	2970	424
875	2972	420
876	2976	417
877	2980	414
878	2982	410
879	2993	408
880	2994	404
881	2996	400
882	2999	397
883	3000	393
884	3006	390
885	3009	387
886	3012	383
887	3015	380
888	3017	376
889	3023	373
890	3027	370
891	3030	366
892	3032	363
893	3034	359
894	3036	356
895	3039	352
896	3044	349
897	3046	346
898	3048	342
899	3049	338
900	3051	335
901	3053	331
902	3057	328
903	3060	324
904	3061	321
905	3068	318
906	3071	314
907	3075	311
908	3077	308
909	3078	304
910	3080	300
911	3082	297
912	3083	293
913	3087	290
914	3091	287
915	3095	283
916	3096	280
917	3098	276
918	3099	273
919	3109	270
920	3110	266
921	3113	263
922	3115	259
923	3116	256
924	3120	252
925	3125	249
926	3130	246
927	3133	243
928	3136	239
929	3139	236
930	3143	232
931	3145	229
932	3149	226
933	3156	223
934	3158	219
935	3160	216
936	3163	212
937	3165	209
938	3166	205
939	3168	202
940	3171	198
941	3175	195
942	3177	192
943	3179	188
944	3180	185
945	3182	181
946	3184	178
947	3185	174
948	3187	171
949	3190	167
950	3193	164
951	3206	161
952	3210	158
953	3212	154
954	3213	151
955	3216	148
956	3218	144
957	3221	141
958	3223	137
959	3232	134
960	3234	131
961	3237	127
962	3238	124
963	3241	121
964	3242	117
965	3245	114
966	3249	110
967	3254	107
968	3256	104
969	3264	100
970	3271	97
971	3272	94
972	3274	90
973	3280	87
974	3283	84
975	3285	80
976	3286	77
977	3288	73
978	3290	70
979	3292	67
980	3295	63
981	3297	60
982	3301	57
983	3307	53
984	3309	50
985	3310	47
986	3311	43
987	3313	40
988	3315	36
989	3321	33
990	3322	30
991	3324	26
992	3325	23
993	3328	20
994	3329	16
995	3333	13
996	3339	10
997	3341	6
998	3342	3
999	3344	0
